komentar,komentar_bersih,label_final,alasan_label
Patrick dan towel sedang berpesta pora merayakan kemenangan bersama mafia..,patrick towel pesta pora raya menang mafia,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
"mau nanya klo misalnya pelatih lain yg ngelatih indonesia selama 5 thn an lebih seperti sty ngelatih indo apakah kalian akan berterima kasih juga ke pelatih tersebut? ,, kebetulan aja yg ngelatih sty ,, coba klo misal nya kluivert yg ngelatih indonesia selama 5 thn ngebangun pondasi da lain lain seperti sty pasti kalian juga akan berterima kasih pada kluivert",nanya pelatih ngelatih indonesia thn an sty ngelatih indo terima kasih pelatih ngelatih sty coba kluivert ngelatih indonesia thn ngebangun pondasi da sty terima kasih kluivert,netral,"Berupa pertanyaan hipotetis tentang pelatih, tidak jelas positif/negatif."
Indonesia ❤ dari awal sebelum ronde 4 kita sudah di curangi,indonesia ronde curang,negatif,Menganggap Indonesia sudah dicurangi.
Gua lebih percaya Opi kumis yang melatih timnas diaspora tim inzes dkk,percaya opi kumis latih timnas diaspora tim inzes dkk,netral,Usulan/pilihan pelatih tanpa sentimen kuat.
"Lebih Baik Kami Gagal Terhormat ke Piala Dunia Bersama Bapak Reformis Timnas Garuda,,,""Coach Shin Tae-Yong"".........Ketimbang Hancur dan Tenggelam Bersama Si Bintang Laut (PK) di Bikini Bottom,,,tempatnya Radiasi Nuklir Kehidupan.......!!!!!! Kami Sungguh Tak Rela,,,Tak Ada Ruang Ikhlas lagi.......!!!!! COACH SHIN bisa saja Balik Ke Indonesia untuk Melatih Garuda,,,tapi dengan Catatan ""BUMI HANGUSKAN"" dulu para Pembenci-Pembencinya,,,para Pengamat-Pengamat Bola Taēk seperti Si Towel Cs itu,,,Oknum-Oknum MAFIA BOLA di PSSI,,,dan Stasiun-Stasiun TV Swasta yang menyiarkan Berita-berita Sampah,,,,Supaya Jalan COACH SHIN Mulus dan Tenang Melatih TIMNAS GARUDA,,,,Gimana menurut Kalian SOB........????? ""Semoga Irak Atau Arab salah satunya MENGUNDURKAN DIRI dari Perhelatan Pildun,supaya Garuda Tampil Kembali(hanya mimpi tapallaahhh)......!!!!!!""",gagal hormat piala dunia reformis timnas garudacoach shin taeyongketimbang hancur tenggelam si bintang laut pk bikini bottomtempatnya radiasi nuklir hidup sungguh relatak ruang ikhlas coach shin indonesia latih garudatapi catat bumi hangus pembencipembencinyapara pengamatpengamat bola si towel cs ituoknumoknum mafia bola pssidan stasiunstasiun tv swasta siar beritaberita sampahsupaya jalan coach shin mulus tenang latih timnas garudagimana sob moga irak arab salah satu undur helat pildunsupaya garuda tampil kembalihanya mimpi tapallaahhh,negatif,Menolak kegagalan bersama Patrick dan lebih memilih STY.
"Sama siapa PK diganti dan kalo ET mundur, siapa yg cocok, ada tidak yang paham bola serta yang tulus jadi ketum PSSI",pk ganti kalo et mundur cocok paham bola tulus tum pssi,netral,Pertanyaan mengenai pengganti PK/ET dan kandidat PSSI.
"Mending pakai pelatih lokal seperti coach Nova ketimbang PK, Dilatih PK pemain kebanyakan main sosmed, kalau dilatih sama Coach Nova saya yakin pasti akan tegas ke pemain dan akan membatasi penggunaan sosial media",mending pakai pelatih lokal coach nova ketimbang pk latih pk pemain banyak main sosmed latih coach nova pemain batas guna sosial media,negatif,Mengkritik PK dan menilai pelatih lokal lebih baik.
Yoi,yoi,netral,Komentar sangat singkat tanpa konteks sentimen yang jelas.
game over Indonesia 🇮🇩FIFA World Cup 2026,game over indonesia fifa world cup,negatif,Ungkapan game over untuk Indonesia.
"​ @bahrishamsul ngerti, basic nya emg iya. Tp dimodifikasi dgn filosofi spanyol nya sendiri. Yg ditulis diatas ,yg utama itu adalah sindiran bahwa jgn alergi main defensif skema 3 bek, banyak tim malah sukses make skema seperti itu. Dan sindiran jg yg terlalu mengagungkan total football belanda, pecentusnya sendiri kaga pernah juara pildun. Hehe. Dua duanya bagus kok kalo dipake pelatih yg cermat.",ngerti basic emg iya modifikasi filosofi spanyol tulis atas utama sindir jgn alergi main defensif skema bek tim sukses make skema sindir jg agung total football belanda pecentusnya kaga juara pildun dua bagus kalo dipake pelatih cermat,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
Hadir,hadir,netral,Komentar kehadiran tanpa opini.
"saya lebih memilih gagal bersama STY karena dia mulai dari nol, dia meyakinkan masyarakat indonesia utk yakin bisa main di piala dunia",pilih gagal sty nol masyarakat indonesia main piala dunia,positif,Menunjukkan dukungan dan kepercayaan terhadap STY meskipun gagal.
"Yaa bener, karena berjuang dari round 1 juga bersama STY",yaa bener juang round sty,positif,Mendukung bahwa perjuangan sejak round 1 bersama STY.
ERIC=BI5Ni5. PATRICK & VARNBURG OUT!!!!,ericbi ni patrick varnburg out,negatif,Menuntut Erick/Patrick/Vanenburg keluar.
"Jangan lupa, Yunani juga juara Euro 2004 itu pake taktik parkir tronton sambil andalkan serangan balik.. Gol 1 aja cukup tuh buat dpt 3 poin dan menang akhirnya juara..",lupa yunani juara euro pake taktik parkir tronton andal serang gol tuh dpt poin menang juara,positif,Memberi contoh positif Yunani juara dengan taktik bertahan.
Ke nya bojan hodak yg cocok latih timnas,bojan hodak cocok latih timnas,netral,Usulan Bojan Hodak sebagai pelatih tanpa emosi jelas.
"​ @SaltyCommentYouNeed Based on data ☝️ overall STY jauh lbh unggul head 2 head dgn PK. Era STY ktika vs China hrs diakui itu ksalahan STY tp diluar itu permainan timnas STY lbh mobile n gol yg dihasilkan dr open play. Sdgkan PK, 2 X dibantai memalukan vs Aussie n Jepang, cm bisa menang di GBK lewat gol pinalti vs China N Bahrain, d last round 4 kalah vs Arab n Irak....?!?!",based on data overall sty lbh unggul head head pk era sty ktika vs china hrs aku ksalahan sty luar main timnas sty lbh mobile gol hasil open play sdgkan pk bantai malu vs aussie jepang cm menang gbk gol pinalti vs china bahrain last round kalah vs arab irak,negatif,Membandingkan data STY dan PK serta mengkritik performa PK.
"Bayangin bro gmn Dy usaha keras bangkitkan timnas dr yg selalu diejek2 di negara Asean menjd dipandang eh sekrg malah dibuat terpuruk,, anj banget dah org2 yg terlibat ini",bayangin gmn dy usaha keras bangkit timnas ejek negara asean menjd pandang sekrg puruk anj dah orang libat,negatif,Kecewa karena usaha membangkitkan Timnas dibuat terpuruk.
ini kan pendapat dia kenapa harus di counter pendapat nya 🤣🤣🤣,dapat counter dapat,netral,Membahas pendapat orang lain tanpa sentimen jelas ke Timnas.
"i'm with you brother, selalu suport Pemain Timnas yang terus berjuang Pemain Diaspora Pemain Local(selama pemain yang punya semangat juang dan tidak betingkah) jujur hasil match Indonesia vs Irak hasilnya kalah pasti membuat hati suporter Timnas hancur, mimpi yang didepan mata ""Pildun""harus hilang tapi Damn I Love Timnas Indonesia",im with you brother suport pemain timnas juang pemain diaspora pemain localselama pemain semangat juang beting jujur hasil match indonesia vs irak hasil kalah hati suporter timnas hancur mimpi depan mata pildunharus hilang damn love timnas indonesia,positif,"Berisi dukungan, apresiasi, pembelaan, atau harapan positif terhadap Timnas, pemain, STY, atau pihak terkait."
"Nah gitu bung ,judulnya TEGAS",gitu judul,positif,Mengapresiasi judul/konten yang dianggap tegas.
​ @alfinnia274 kayak jaman Simon memilih pemain berdasarkan netizen😂😂😂,jaman simon pilih pemain dasar netizen,netral,Bercanda tentang pemilihan pemain berdasarkan netizen.
"Tidak apa"" kalian sudah berjuang smpai di titik ini aja kalau saya sngt bangga liat ke majuan timnas.indonesia jaya sllu",juang smpai titik sngt bangga liat maju timnasindonesia jaya sllu,positif,Bangga terhadap kemajuan Timnas.
STY,sty,netral,Hanya menyebut STY tanpa opini jelas.
​ @revindoskussoy1897 bukan kalahnya yg bikin kecewa tapi ganti pelatih di tengah jalan ternyata bukan jaminan kemenangan,kalah bikin kecewa ganti pelatih jalan jamin menang,negatif,Kekecewaan terhadap pergantian pelatih yang tidak menjamin kemenangan.
indonesia macan asia,indonesia macan asia,positif,Menyebut Indonesia sebagai macan Asia.
"Supporter seperti tidak berdaya, padahal katanya animo ny paling besar Mau sampai kapan sepakbola akan menjadi keuntungan sepihak Sampai kapan suporter akan jadi donatur yg tak bisa mengatur",supporter daya animo ny sepakbola untung suporter donatur atur,negatif,Mengkritik sepak bola yang dianggap menguntungkan sepihak.
rasanya erick pernah bilang akan mundur kalau indo gagal,erick bilang mundur indo gagal,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
Ngapa gk mainin Klok aja smpe FT..,ngapa mainin klok smpe ft,negatif,Mengkritik keputusan tidak memainkan Klok.
Tetap semangat dan bangga dgn pemain udh bagus s pertahankan LG buat 5 THN kedepan,semangat bangga pemain udh bagus tahan lg thn depan,positif,Dukungan dan rasa bangga kepada pemain.
GUS DUR DILAWAN 😂,gus dur lawan,netral,Candaan tentang Gus Dur tanpa sentimen jelas.
Semua pengurus PSSI harus mundur...,urus pssi mundur,negatif,"Berisi kritik, kekecewaan, atau sindiran terhadap pelatih, PSSI, Erick Thohir, Patrick/Kluivert, atau kegagalan Timnas."
Tangung jawab apa emg dia hamil wkwkwkwk,tangung emg hamil wkwkwkwk,netral,Lelucon tanpa opini sentimen terhadap Timnas.
"Mati Suri 2 Tahun ,Kembali Lagi Ber kualifikasi 2030",mati suri ber kualifikasi,netral,Pernyataan waktu menuju kualifikasi berikutnya tanpa sentimen jelas.
gini saja terus netizen,gin netizen,netral,Komentar umum tentang netizen tanpa opini langsung.
Hampir ke piala dunia imbangi Irak,piala dunia imbang irak,netral,Pernyataan singkat tentang hampir ke Piala Dunia dan imbang Irak.
Sty terbaik👍💯,sty baik,positif,Memuji STY sebagai yang terbaik.
​ @nenengGeulis-cv8xz Mainnya di tanah arab Coba main di tempat netral dijepang atau korea Beda cerita lah,cv xz main tanah arab coba main netral dijepang korea beda cerita,negatif,Menganggap kondisi tempat pertandingan tidak adil.
"Cuci dlu mukanya dlu woi, kyk mw msk ke dalam goa aja, haha",cuci dlu muka dlu woi kyk mw msk goa,netral,Komentar bercanda/mengejek personal dan tidak relevan dengan sentimen Timnas.
Italia 4 X juara dunia,italia juara dunia,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
setuju bung!!,tuju,positif,Menyatakan setuju terhadap pendapat/analisis.
1000% agree apa yg di sampaikan kapten Jay.. Timnas memiliki banyak pemain berkualitas dan kesempatan berkembang kedepannya terbuka.. insyaallah bisa masuk piala dunia 2030. Sebelum ini semoga Piala Asia 2027 di Arab Saudi timnas Indonesia lebih jauh pencapaiannya dibanding sebelumnya...,agree kapten jay timnas milik pemain kualitas sempat kembang depan buka insyaallah masuk piala dunia moga piala asia arab saudi timnas indonesia capai banding,positif,Dukungan dan optimisme terhadap peluang Timnas ke depan.
Sudahlah. Sabar aja kita targetkan pildun 2030 harus lolos. Jgn cari kambing hitam trus. Toh kalo trus ganti pelatih juga gk bagus. Kecuali klo ganti pelatih yg top sekalian. Klo cari yg masih sekelas sty tanpa merendahkan kualitas beliau tapi ini faktanya klo ganti sama yg masih sekelas beliau kek nya lebih baik biarin coach PK dkk lanjut aja deh ngembangin strategi yg bner2 cocok buat timnas kita.,sabar target pildun lolos jgn cari kambing hitam kalo ganti pelatih bagus kecuali ganti pelatih top cari kelas sty rendah kualitas beliau fakta ganti kelas beliau biarin coach pk dkk ngembangin strategi bner cocok timnas,positif,"Mengajak sabar, menargetkan 2030, dan tidak mencari kambing hitam."
Terhormat dari mana,hormat,negatif,Menyindir narasi kalah terhormat.
"​ @Surya-fc1vf Ratu Tisha, lo kira yg bawa STY siapa😂",fc vf ratu tisha bawa sty,netral,Menyebut Ratu Tisha membawa STY tanpa sentimen jelas.
Apakah setelah gagal lolos ke WC 2026 pemain diaspora kita ikut hengkang juga?,gagal lolos wc pemain diaspora hengkang,netral,Pertanyaan tentang masa depan pemain diaspora.
"Yg kalah menjelaskan yg menang merayakan.... Blundernya kluivert pas lawan Arab, bikin line up yg kocak.",kalah menang raya blundernya kluivert lawan arab bikin line up kocak,negatif,Mengkritik blunder Kluivert dan line-up.
wkwkwkkk haloo halo heei?,wkwkwkkk haloo halo heei,netral,Komentar bercanda tanpa konteks sentimen jelas.
"yaelah ga usah bikin cerita rumor & drama kyk gitu,,, come on, move on laah... masih jg ngomongin STY, klo lu tetep mau STY jadi pelatih jga percuma klo ET pengen nyari pelatih lain.. manajemen leadership di federasi sepak bola tuh beda ama di pemerintahan,,,",yaelah bikin cerita rumor drama kyk gitu come on move on laah jg ngomongin sty tetep sty pelatih jga et ken nyari pelatih manajemen leadership federasi sepak bola tuh beda ama perintah,netral,Menyarankan berhenti membuat rumor/drama dan move on tanpa sentimen langsung ke Timnas.
​ @MohammadSyahRolies mungkin masih ada harapan kalo STY di kembalikan lagi jadi pelatih..walau mungkin harus STEL ulang gaya bermain dan pemainnya.,harap kalo sty kembali pelatihwalau stel ulang gaya main main,positif,Harapan agar STY kembali menjadi pelatih.
BUMN waja merugi,bumn waja rugi,netral,Komentar tidak jelas dan kurang relevan dengan sentimen Timnas.
MISI SUKSES,misi sukses,netral,"Komentar singkat dan ambigu, tidak jelas mengarah ke sentimen tertentu."
memang analisa bung binder mantap,analisa binder mantap,positif,Memberi apresiasi terhadap analisis Bung Binder.
Sedih lihat mereka sedih... Namun wajar...karena darah dan hati mereka adalah merah putih yang sesungguhnya Bangga punya mereka menjadi bagjan dari Bangsa Indonesia Untuk semua netizen dan penggemar... terus Bangga dan Bahagja,sedih lihat sedih wajarkarena darah hati merah putih sungguh bangga bagjan bangsa indonesia netizen gemar bangga bahagja,positif,Bangga terhadap pemain dan bangsa Indonesia.
Yang sakit hati itu karena harapan mereka sendiri dan ekspetasi yg terlalu tinggi. Tanpa sadar diri dan bersikap realistis aja belum waktunya masuk pildun.,sakit hati harap ekspetasi sadar sikap realistis masuk pildun,netral,"Komentar realistis tentang ekspektasi, tanpa emosi positif/negatif yang kuat."
"Saya tidak yakin ada yang berani mundur, di Indonesia ni pejabat mana punya malu? 😊",berani mundur indonesia ni jabat malu,negatif,Kritik terhadap pejabat yang dianggap tidak punya malu.
Tak perlu saling menyalahkan..timnas kita kan baru bentuk kamarin sore ko mau nya yg muluk muluk,menyalahkantimnas bentuk kamarin sore ko muluk muluk,positif,Membela Timnas agar tidak saling menyalahkan karena tim masih baru.
"mewakilkan bgt bang komentarnya, salut😢",wakil bang komentar salut,positif,Memberi apresiasi/salut terhadap komentar yang mewakili perasaan publik.
"@ranggaa741 Kalo sty gak bagus gak bakal timnas sampe ke round 3, pasti tumbang duluan sama seperti pelatih2 sebelumnya. Dari banyaknya mantan2 pelatih yg melatih timnas siapa yg bisa dan pernah mengantar timnas sampe ke round 3?",kalo sty bagus timnas sampe round tumbang duluan pelatih banyak mantan pelatih latih timnas antar timnas sampe round,positif,Membela STY karena dinilai mampu membawa Timnas sampai round 3.
​ @AbdulRosid-zo9vi itu pasti orang pembisnis pasti luas permainannya,zo vi orang bisnis luas main,netral,Pernyataan umum tentang pebisnis tanpa sentimen jelas.
Sabar dan ikhlas adalah makanan wajib bagi pecinta timnas..,sabar ikhlas makan wajib cinta timnas,positif,"Ajakan sabar dan ikhlas bagi pecinta Timnas, bernada dukungan."
Saya salut timnas Indonesia 🇮🇩 bangkit walaupun gagal lolos piala dunia 2026❤,salut timnas indonesia bangkit gagal lolos piala dunia,positif,Salut dan mendukung Timnas tetap bangkit walaupun gagal.
Itu dia yg dilihat pemerintah. Ini rakyat dapat harapan nih dari sepak bola. Gak bisa dibiarin nih. Hancurin ah,perintah rakyat harap sepak bola dibiarin hancurin ah,negatif,Menuduh harapan rakyat dihancurkan oleh pemerintah.
"​ @abrahamcandra Erick cuma nerusin Iwan bule,sebagaimana petrik nerusin sty.",erick nerusin iwan bulesebagaimana trik nerusin sty,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
bahkan squad jerman di tumbangkan korsel dengan taktik counter att,squad jerman tumbang korsel taktik counter att,netral,"Berisi fakta, pertanyaan, nama, candaan umum, atau pembahasan taktik tanpa emosi sentimen yang jelas."
Apakah masalah komunikasi lagi😂😂,komunikasi,negatif,Sarkasme terkait alasan komunikasi.
Itu jawaban Ter dungu dr pejabat PSSI..,ter dungu jabat pssi,negatif,Menghina pejabat PSSI sebagai dungu.
Bukan menghujat bung salut sama Yakub sayuri dia lah pahlawan sejati,hujat salut yakub sayur pahlawan sejati,positif,Memberi apresiasi kepada Yakob Sayuri sebagai pahlawan.
Jaya 5 tahun nol gelar jaya,jaya nol gelar jaya,negatif,Kritik terhadap nihil gelar.
​ @pintotubagus8105 kalau itu baru setuju Tapi Yg bisa keluar kan siapa?,tuju,negatif,"Menyetujui perubahan/keluarnya pihak tertentu, bernada kritik."
Mengcewakan pssi,mengcewakan pssi,negatif,Menyatakan kekecewaan terhadap PSSI.
